,p0q0
5432,-7
5433,6
5434,-5
5435,4
5436,10
5437,4
5438,6
5439,10
5440,-5
5441,-10
5442,-10
5443,-4
5444,9
5445,3
5446,7
5447,2
5448,3
5449,-9
5450,7
5451,-8
5452,10
5453,10
5454,8
5455,0
5456,-2
5457,2
5458,10
5459,9
5460,3
5461,-6
5462,0
5463,10
5464,-4
5465,4
5466,-9
5467,-10
5468,4
5469,1
5470,-6
5471,-6
5472,7
5473,8
5474,8
5475,4
5476,-8
5477,8
5478,7
5479,9
5480,9
5481,-1
5482,0
5483,5
5484,-8
5485,-9
5486,5
5487,3
5488,-5
5489,-4
5490,-5
5491,9
5492,6
5493,4
5494,8
5495,10
5496,-3
5497,-1
5498,6
5499,-2
5500,5
5501,-7
5502,-6
5503,-9
5504,3
5505,4
5506,-2
5507,9
5508,0
5509,4
5510,6
5511,4
5512,2
5513,-7
5514,-7
5515,7
5516,0
5517,-2
5518,-5
5519,5
5520,-4
5521,2
5522,7
5523,0
5524,-3
5525,-7
5526,9
5527,7
5528,2
5529,2
5530,-8
5531,2
5532,-1
5533,-9
5534,-4
5535,-1
5536,5
5537,8
5538,7
5539,-5
5540,10
5541,-3
5542,3
5543,3
5544,-1
5545,-5
5546,7
5547,-4
5548,6
5549,-10
5550,-4
5551,9
5552,4
5553,6
5554,-1
5555,-3
5556,2
5557,-2
5558,7
5559,-10
5560,-9
5561,4
5562,0
5563,9
5564,-4
5565,-6
5566,8
5567,-7
5568,-6
5569,-6
5570,-1
5571,-6
5572,-2
5573,-9
5574,-2
5575,-10
5576,-1
5577,9
5578,-2
5579,-1
5580,3
5581,6
5582,-8
5583,-5
5584,8
5585,-7
5586,-4
5587,-2
5588,-4
5589,-3
5590,7
5591,-9
5592,0
5593,9
5594,0
5595,-3
5596,-4
5597,-8
5598,-9
5599,9
5600,5
5601,-2
5602,8
5603,-10
5604,-4
5605,8
5606,-2
5607,-5
5608,8
5609,2
5610,-3
5611,-6
5612,10
5613,7
5614,-8
5615,-10
5616,-4
5617,9
5618,7
5619,1
5620,-3
5621,-3
5622,1
5623,8
5624,-5
5625,2
5626,8
5627,-7
5628,5
5629,-5
5630,-10
5631,-2
5632,10
5633,-3
5634,-5
5635,-1
5636,-7
5637,3
5638,5
5639,7
5640,4
5641,-6
5642,4
5643,-7
5644,7
5645,4
5646,-4
5647,0
5648,6
5649,5
5650,5
5651,-10
5652,-5
5653,-6
5654,8
5655,-10
5656,-4
5657,3
5658,-5
5659,-6
5660,4
5661,3
5662,5
5663,-5
5664,-8
5665,-4
5666,2
5667,5
5668,6
5669,6
5670,-7
5671,-6
5672,5
5673,8
5674,8
5675,-9
5676,-6
5677,-8
5678,0
5679,6
5680,-2
5681,8
5682,-1
5683,8
5684,3
5685,2
5686,2
5687,-7
5688,-2
5689,-4
5690,-9
5691,6
5692,-6
5693,-10
5694,-10
5695,5
5696,-5
5697,-10
5698,0
5699,3
5700,-2
5701,-6
5702,0
5703,4
5704,8
5705,-5
5706,-2
5707,6
5708,0
5709,-5
5710,-7
5711,4
5712,9
5713,-5
5714,10
5715,-9
5716,0
5717,-1
5718,7
5719,6
5720,10
5721,-9
5722,10
5723,9
5724,2
5725,5
5726,-7
5727,-5
5728,-1
5729,-6
5730,-3
5731,-10
5732,6
5733,-6
5734,-10
5735,-3
5736,0
5737,-1
5738,6
5739,4
5740,-4
5741,4
5742,10
5743,-9
5744,-1
5745,10
5746,9
5747,8
5748,4
5749,2
5750,-4
5751,-5
5752,6
5753,-1
5754,-7
5755,3
5756,-2
5757,-10
5758,2
5759,6
5760,-8
5761,5
5762,4
5763,-7
5764,3
5765,5
5766,6
5767,2
5768,7
5769,0
5770,-4
5771,6
5772,-7
5773,2
5774,4
5775,-7
5776,5
5777,-1
5778,-7
5779,-2
5780,-3
5781,4
5782,-6
5783,-7
5784,-5
5785,7
5786,-9
5787,1
5788,0
5789,8
5790,1
5791,0
5792,-10
5793,8
5794,-8
5795,-6
5796,-7
5797,5
5798,2
5799,-9
5800,-10
5801,-9
5802,4
5803,4
5804,-7
5805,0
5806,-9
5807,7
5808,5
5809,3
5810,6
5811,4
5812,2
5813,-5
5814,10
5815,-6
5816,4
5817,-10
5818,-3
5819,1
5820,-5
5821,-1
5822,-8
5823,-7
5824,9
5825,5
5826,9
5827,6
5828,3
5829,-10
5830,8
5831,-6
5832,5
5833,10
5834,6
5835,8
5836,-5
5837,1
5838,-9
5839,2
5840,8
5841,8
5842,10
5843,0
5844,3
5845,-2
5846,-5
5847,-9
5848,-9
5849,-2
5850,10
5851,-7
5852,3
5853,-5
5854,4
5855,-10
5856,-5
5857,-4
5858,2
5859,-1
5860,-6
5861,5
5862,9
5863,8
5864,6
5865,10
5866,-1
5867,-7
5868,6
5869,5
5870,3
5871,-1
5872,3
5873,4
5874,-1
5875,1
5876,7
5877,-8
5878,3
5879,3
5880,-6
5881,0
5882,5
5883,-3
5884,9
5885,-6
5886,-5
5887,6
5888,-7
5889,10
5890,1
5891,9
5892,4
5893,9
5894,3
5895,1
5896,-8
5897,8
5898,-1
5899,6
5900,-4
5901,-10
5902,4
5903,-4
5904,-9
5905,4
5906,9
5907,-2
5908,-6
5909,1
5910,-8
5911,-7
5912,-5
5913,-4
5914,-4
5915,2
5916,-8
5917,10
5918,0
5919,1
5920,-7
5921,5
5922,-2
5923,-1
5924,-10
5925,8
5926,-8
5927,6
5928,-3
5929,-1
5930,-8
5931,-8
5932,3
5933,10
5934,4
5935,-3
5936,-9
5937,3
5938,-7
5939,-2
5940,5
5941,-2
5942,7
5943,9
5944,-7
5945,-9
5946,0
5947,8
5948,-2
5949,-6
5950,10
5951,1
5952,3
5953,-8
5954,2
5955,-4
5956,5
5957,-7
5958,-4
5959,0
5960,1
5961,10
5962,-8
5963,-8
5964,1
5965,2
5966,-6
5967,6
5968,9
5969,-4
5970,0
5971,0
5972,-9
5973,0
5974,-2
5975,8
5976,0
5977,10
5978,5
5979,-7
5980,7
5981,-7
5982,2
5983,4
5984,6
5985,0
5986,1
5987,3
5988,2
5989,6
5990,1
5991,-3
5992,-9
5993,-9
5994,-3
5995,-7
5996,7
5997,-10
5998,-8
5999,-7
6000,-7
6001,0
6002,1
6003,1
6004,-2
6005,-9
6006,9
6007,-5
6008,-9
6009,6
6010,10
6011,3
6012,-1
6013,-9
6014,8
6015,2
6016,1
6017,-6
6018,-10
6019,6
6020,8
6021,2
6022,-7
6023,-5
6024,-7
6025,7
6026,4
6027,-8
6028,-8
6029,-6
6030,5
6031,-1
6032,-8
6033,7
6034,-4
6035,-10
6036,-7
6037,5
6038,5
6039,-7
6040,-3
6041,3
6042,-5
6043,-10
6044,4
6045,9
6046,0
6047,-8
6048,6
6049,10
6050,7
6051,-7
6052,4
6053,10
6054,-4
6055,4
6056,-4
6057,-8
6058,-4
6059,-7
6060,-6
6061,-4
6062,6
6063,9
6064,-7
6065,3
6066,3
6067,-6
6068,-8
6069,-9
6070,7
6071,6
6072,-7
6073,-9
6074,3
6075,0
6076,1
6077,-3
6078,10
6079,5
6080,-7
6081,1
6082,6
6083,-2
6084,-10
6085,-6
6086,-2
6087,3
6088,-8
6089,5
6090,-1
6091,3
6092,-3
6093,-4
6094,-6
6095,8
6096,-1
6097,-9
6098,2
6099,10
6100,9
6101,-2
6102,-10
6103,7
6104,-1
6105,2
6106,-6
6107,10
6108,5
6109,-7
6110,3
6111,3
6112,0
6113,-6
6114,3
6115,6
6116,-10
6117,-8
6118,-8
6119,-6
6120,-4
6121,5
6122,10
6123,-7
6124,-2
6125,-3
6126,5
6127,1
6128,6
6129,9
6130,5
6131,9
6132,7
6133,-1
6134,-2
6135,0
6136,-8
6137,10
6138,3
6139,-4
6140,-8
6141,-6
6142,0
6143,-4
6144,-10
6145,2
6146,8
6147,-9
6148,10
6149,0
6150,9
6151,4
6152,-6
6153,0
6154,-4
6155,8
6156,8
6157,-4
6158,10
6159,8
6160,2
6161,-5
6162,-2
6163,-6
6164,-8
6165,5
6166,1
6167,-2
6168,10
6169,-4
6170,-3
6171,-7
6172,9
6173,0
6174,8
6175,-8
6176,-4
6177,10
6178,-9
6179,8
6180,10
6181,6
6182,-1
6183,1
6184,-4
6185,-4
6186,10
6187,1
6188,-2
6189,-9
6190,-3
6191,-2
6192,0
6193,5
6194,-2
6195,-5
6196,-5
6197,-7
6198,-10
6199,5
6200,-10
6201,2
6202,5
6203,9
6204,3
6205,-6
6206,9
6207,-2
6208,-10
6209,-1
6210,7
6211,3
6212,-8
6213,10
6214,4
6215,2
6216,-9
6217,-3
6218,-3
6219,-9
6220,-5
6221,6
6222,3
6223,-6
6224,-7
6225,0
6226,10
6227,-9
6228,-10
6229,4
6230,-4
6231,7
6232,2
6233,9
6234,-8
6235,2
6236,-3
6237,0
6238,-7
6239,4
6240,-3
6241,-3
6242,2
6243,10
6244,-5
6245,-2
6246,3
6247,9
6248,-4
6249,-7
6250,4
6251,-1
6252,9
6253,4
6254,3
6255,-6
6256,-1
6257,10
6258,-8
6259,-7
6260,1
6261,7
6262,-7
6263,-1
6264,5
6265,8
6266,7
6267,3
6268,3
6269,-3
6270,-9
6271,-3
6272,2
6273,3
6274,-4
6275,9
6276,-10
6277,-3
6278,-9
6279,0
6280,2
6281,-7
6282,3
6283,5
6284,-2
6285,8
6286,-4
6287,-1
6288,10
6289,-1
6290,-4
6291,3
6292,0
6293,-2
6294,-6
6295,9
6296,1
6297,-2
6298,-2
6299,7
6300,2
6301,1
6302,5
6303,3
6304,3
6305,-3
6306,-2
6307,6
6308,-1
6309,9
6310,5
6311,-10
6312,0
6313,-8
6314,4
6315,5
6316,-4
6317,-4
6318,-10
6319,-10
6320,6
6321,2
6322,-10
6323,2
6324,6
6325,8
6326,-10
6327,-4
6328,-4
6329,-8
6330,-7
6331,6
6332,3
6333,-4
6334,-2
6335,8
6336,3
6337,-7
6338,6
6339,-3
6340,6
6341,-1
6342,-1
6343,-2
6344,-7
6345,4
6346,7
6347,5
6348,-4
6349,7
6350,1
6351,8
6352,6
6353,-6
6354,-1
6355,-4
6356,-9
6357,3
6358,-1
6359,5
6360,-3
6361,6
6362,0
6363,4
6364,-3
6365,-3
6366,9
6367,4
6368,-9
6369,-1
6370,-5
6371,-10
6372,-1
6373,-3
6374,2
6375,10
6376,0
6377,2
6378,-4
6379,-7
6380,-9
6381,-1
6382,-5
6383,-8
6384,-6
6385,7
6386,0
6387,6
6388,-3
6389,3
6390,6
6391,5
6392,-7
6393,2
6394,8
6395,-9
6396,-7
6397,5
6398,-5
6399,-2
6400,-6
6401,4
6402,-3
6403,0
6404,10
6405,7
6406,5
6407,-6
6408,9
6409,-3
6410,4
6411,6
6412,-5
6413,0
6414,-3
6415,3
6416,-4
6417,2
6418,-6
6419,-6
6420,-6
6421,-2
6422,0
6423,7
6424,-2
6425,1
6426,1
6427,0
6428,-2
6429,6
6430,3
6431,-5
6432,-6
6433,-7
6434,-4
6435,-5
6436,8
6437,7
6438,-10
6439,2
6440,2
6441,6
6442,0
6443,8
6444,4
6445,5
6446,10
6447,4
6448,-4
6449,1
6450,4
6451,-4
6452,0
6453,-10
6454,-5
6455,0
6456,-6
6457,-4
6458,-6
6459,-1
6460,2
6461,-2
6462,6
6463,-6
6464,-5
6465,3
6466,-1
6467,-3
6468,-10
6469,-2
6470,-1
6471,-7
6472,-3
6473,4
6474,2
6475,5
6476,8
6477,6
6478,-5
6479,0
6480,-6
6481,-1
6482,6
6483,6
6484,-9
6485,-5
6486,-4
6487,3
6488,9
6489,3
6490,0
6491,-3
6492,5
6493,-1
6494,-9
6495,8
6496,-4
6497,3
6498,-5
6499,7
6500,0
6501,9
6502,9
6503,2
6504,-5
6505,9
6506,-3
6507,7
6508,8
6509,1
6510,-3
6511,-1
6512,-7
6513,-7
6514,-9
6515,3
6516,-7
6517,-2
6518,9
6519,1
6520,4
6521,-1
6522,-2
6523,-2
6524,10
6525,-6
6526,4
6527,-2
6528,5
6529,-8
6530,-7
6531,-1
6532,-10
6533,6
6534,-2
6535,-6
6536,3
6537,5
6538,4
6539,10
6540,-2
6541,-10
6542,-8
6543,-8
6544,-3
6545,3
6546,-1
6547,2
6548,-5
6549,5
6550,-8
6551,5
6552,4
6553,-6
6554,2
6555,3
6556,-2
6557,-5
6558,2
6559,0
6560,-10
6561,-5
6562,0
6563,-5
6564,2
6565,0
6566,6
6567,-7
6568,-8
6569,-2
6570,6
6571,0
6572,1
6573,3
6574,-5
6575,6
6576,-5
6577,-2
6578,-9
6579,2
6580,10
6581,5
6582,0
6583,6
6584,-9
6585,8
6586,-6
6587,6
6588,3
6589,3
6590,-6
6591,7
6592,-5
6593,-9
6594,-4
6595,-1
6596,8
6597,-4
6598,4
6599,3
6600,6
6601,10
6602,-9
6603,7
6604,0
6605,5
6606,-3
6607,0
6608,6
6609,-6
6610,-7
6611,-4
6612,-1
6613,-6
6614,-6
6615,5
6616,-4
6617,10
6618,7
6619,-9
6620,4
6621,8
6622,0
6623,-6
6624,1
6625,-3
6626,-2
6627,-1
6628,-10
6629,-2
6630,-5
6631,-9
6632,-10
6633,-6
6634,1
6635,7
6636,-9
6637,6
6638,2
6639,-8
6640,5
6641,3
6642,5
6643,-3
6644,5
6645,1
6646,-6
6647,5
6648,3
6649,5
6650,7
6651,-2
6652,8
6653,4
6654,-5
6655,-9
6656,8
6657,-2
6658,9
6659,-6
6660,-3
6661,-8
6662,1
6663,9
6664,10
6665,4
6666,4
6667,-9
6668,-9
6669,4
6670,6
6671,2
6672,0
6673,-1
6674,-4
6675,5
6676,-5
6677,1
6678,-1
6679,-5
6680,10
6681,3
6682,5
6683,8
6684,7
6685,10
6686,-3
6687,-1
6688,5
6689,4
6690,4
6691,3
6692,6
6693,-6
6694,4
6695,3
6696,-1
6697,-1
6698,2
6699,4
6700,7
6701,2
6702,-4
6703,10
6704,4
6705,3
6706,5
6707,7
6708,-5
6709,-10
6710,-2
6711,-10
6712,-2
6713,-10
6714,7
6715,8
6716,2
6717,-9
6718,-2
6719,2
6720,-6
6721,0
6722,-2
6723,4
6724,-3
6725,-9
6726,0
6727,1
6728,9
6729,1
6730,-1
6731,-6
6732,-2
6733,4
6734,2
6735,3
6736,1
6737,1
6738,-8
6739,0
6740,2
6741,9
6742,-9
6743,3
6744,-9
6745,9
6746,-4
6747,9
6748,-8
6749,8
6750,5
6751,-10
6752,-9
6753,5
6754,-9
6755,-6
6756,5
6757,-8
6758,-1
6759,4
6760,-6
6761,0
6762,8
6763,-2
6764,9
6765,2
6766,1
6767,7
6768,6
6769,7
6770,-6
6771,-1
6772,7
6773,2
6774,2
6775,-9
6776,4
6777,7
6778,4
6779,1
6780,-5
6781,9
6782,-6
6783,10
6784,9
6785,1
6786,-9
6787,-1
6788,-7
6789,9
6790,-3
6791,-7
6792,-4
6793,-5
6794,-8
6795,-10
6796,-3
6797,0
6798,1
6799,2
6800,-3
6801,8
6802,5
6803,7
6804,2
6805,-6
6806,-6
6807,-5
6808,1
6809,-7
6810,9
6811,-6
6812,-9
6813,-3
6814,9
6815,10
6816,-9
6817,-6
6818,7
6819,-10
6820,0
6821,2
6822,-1
6823,-3
6824,6
6825,8
6826,-1
6827,4
6828,3
6829,4
6830,-2
6831,-4
6832,3
6833,7
6834,-6
6835,-7
6836,1
6837,5
6838,-5
6839,3
6840,-6
6841,7
6842,-7
6843,-9
6844,-1
6845,8
6846,-3
6847,-6
6848,4
6849,-3
6850,-8
6851,-8
6852,-4
6853,-5
6854,8
6855,5
6856,-5
6857,2
6858,6
6859,5
6860,-4
6861,-3
6862,-2
6863,1
6864,1
6865,7
6866,-4
6867,1
6868,-7
6869,1
6870,0
6871,2
6872,-4
6873,7
6874,-8
6875,-8
6876,8
6877,4
6878,7
6879,-3
6880,2
6881,-9
6882,8
6883,10
6884,-10
6885,6
6886,-3
6887,-1
6888,3
6889,5
6890,3
6891,-1
6892,-5
6893,7
6894,-2
6895,7
6896,-9
6897,-10
6898,-9
6899,-2
6900,9
6901,-1
6902,-2
6903,-4
6904,9
6905,-5
6906,-10
6907,5
6908,10
6909,-2
6910,4
6911,0
6912,9
6913,3
6914,-6
6915,3
6916,-6
6917,-8
6918,6
6919,-10
6920,-8
6921,-9
6922,6
6923,8
6924,2
6925,8
6926,1
6927,-4
6928,8
6929,-9
6930,3
6931,6
6932,3
6933,3
6934,-2
6935,7
6936,10
6937,1
6938,-4
6939,-9
6940,0
6941,2
6942,9
6943,0
6944,-2
6945,7
6946,3
6947,5
6948,-6
6949,5
6950,8
6951,2
6952,0
6953,-8
6954,-10
6955,1
6956,-9
6957,-1
6958,-10
6959,-3
6960,-6
6961,10
6962,-2
6963,-6
6964,0
6965,9
6966,-6
6967,3
6968,0
6969,-2
6970,7
6971,-4
6972,-3
6973,3
6974,-4
6975,-3
6976,-1
6977,7
6978,4
6979,4
6980,1
6981,4
6982,-4
6983,-9
6984,-1
6985,-1
6986,5
6987,-2
6988,7
6989,8
6990,-5
6991,-2
6992,-1
6993,2
6994,10
6995,0
6996,-7
6997,-7
6998,0
6999,-5
7000,0
7001,9
7002,7
7003,-7
7004,8
7005,0
7006,-4
7007,8
7008,-10
7009,-3
7010,-1
7011,8
7012,-1
7013,-5
7014,7
7015,6
7016,-10
7017,-1
7018,2
7019,6
7020,8
7021,4
7022,-9
7023,-3
7024,7
7025,7
7026,10
7027,9
7028,1
7029,7
7030,-3
7031,5
7032,7
7033,-7
7034,6
7035,-3
7036,4
7037,-7
7038,-5
7039,7
7040,0
7041,3
7042,-2
7043,10
7044,7
7045,9
7046,9
7047,-10
7048,8
7049,-9
7050,-1
7051,7
7052,-5
7053,2
7054,5
7055,-7
7056,-7
7057,3
7058,-4
7059,9
7060,-4
7061,-10
7062,6
7063,-9
7064,4
7065,-2
7066,-9
7067,-4
7068,-9
7069,-10
7070,0
7071,10
7072,-7
7073,-5
7074,-5
7075,10
7076,9
7077,-5
7078,-1
7079,-10
7080,8
7081,-9
7082,4
7083,8
7084,5
7085,5
7086,8
7087,-1
7088,10
7089,6
7090,3
7091,6
7092,10
7093,0
7094,2
7095,4
7096,1
7097,6
7098,8
7099,7
7100,1
7101,7
7102,-8
7103,3
7104,8
7105,-9
7106,6
7107,-6
7108,2
7109,-4
7110,2
7111,-8
7112,0
7113,-4
7114,-5
7115,10
7116,-2
7117,0
7118,-2
7119,-8
7120,-10
7121,-10
7122,1
7123,1
7124,-3
7125,-3
7126,10
7127,-8
7128,-5
7129,-8
7130,10
7131,1
7132,-6
7133,10
7134,-9
7135,-5
7136,9
7137,-9
7138,-6
7139,1
7140,-2
7141,2
7142,-9
7143,6
7144,1
7145,-9
7146,5
7147,-7
7148,-5
7149,-7
7150,-10
7151,1
7152,6
7153,10
7154,5
7155,10
7156,0
7157,-1
7158,-3
7159,5
7160,-8
7161,10
7162,-5
7163,-5
7164,-4
7165,-8
7166,2
7167,4
7168,9
7169,4
7170,-7
7171,4
7172,-8
7173,-8
7174,-6
7175,10
7176,0
7177,7
7178,-5
7179,-2
7180,-7
7181,0
7182,-2
7183,3
7184,0
7185,2
7186,-9
7187,8
7188,4
7189,9
7190,2
7191,-4
7192,-9
7193,-2
7194,9
7195,8
7196,-4
7197,-9
7198,4
7199,4
7200,-5
7201,-1
7202,-4
7203,-1
7204,10
7205,2
7206,-2
7207,3
7208,-5
7209,1
7210,-2
7211,-6
7212,10
7213,-5
7214,-1
7215,2
7216,8
7217,-2
7218,-8
7219,6
7220,-3
7221,6
7222,10
7223,-6
7224,7
7225,-9
7226,-2
7227,-2
7228,2
7229,-6
7230,-5
7231,0
7232,-5
7233,10
7234,0
7235,7
7236,4
7237,-8
7238,2
7239,-1
7240,0
7241,2
7242,10
7243,-4
7244,-8
7245,-5
7246,2
7247,-9
7248,7
7249,0
7250,-6
7251,-6
7252,-4
7253,-3
7254,-2
7255,3
7256,9
7257,10
7258,-1
7259,8
7260,-8
7261,9
7262,10
7263,-8
7264,0
7265,-10
7266,9
7267,9
7268,8
7269,8
7270,0
7271,-9
7272,-4
7273,7
7274,-10
7275,-10
7276,5
7277,10
7278,-7
7279,8
7280,6
7281,8
7282,3
7283,-8
7284,-4
7285,-9
7286,7
7287,-10
7288,-7
7289,-2
7290,-9
7291,5
7292,7
7293,3
7294,-2
7295,4
7296,5
7297,5
7298,-1
7299,-4
7300,-5
7301,-9
7302,-7
7303,9
7304,-2
7305,-1
7306,-6
7307,9
7308,-2
7309,-3
7310,9
7311,-6
7312,-9
7313,8
7314,-3
7315,1
7316,-5
7317,-4
7318,10
7319,-5
7320,10
7321,6
7322,6
7323,-9
7324,-7
7325,1
7326,5
7327,1
7328,4
7329,9
7330,8
7331,2
7332,1
7333,9
7334,0
7335,-6
7336,-3
7337,-8
7338,5
7339,9
7340,-3
7341,-10
7342,5
7343,1
7344,9
7345,8
7346,1
7347,-4
7348,6
7349,2
7350,5
7351,1
7352,3
7353,1
7354,-9
7355,4
7356,-8
7357,-7
7358,-5
7359,6
7360,-6
7361,-2
7362,-4
7363,-9
7364,7
7365,-10
7366,10
7367,-5
7368,-5
7369,3
7370,2
7371,4
7372,-4
7373,2
7374,3
7375,-6
7376,0
7377,10
7378,2
7379,10
7380,-5
7381,1
7382,1
7383,-1
7384,8
7385,1
7386,-10
7387,-5
7388,9
7389,6
7390,-4
7391,8
7392,9
7393,2
7394,1
7395,-8
7396,4
7397,-7
7398,8
7399,-1
7400,-10
7401,10
7402,1
7403,-3
7404,0
7405,4
7406,-1
7407,8
7408,8
7409,9
7410,6
7411,0
7412,-5
7413,-6
7414,9
7415,-1
7416,4
7417,-2
7418,-7
7419,2
7420,9
7421,5
7422,10
7423,-4
7424,-9
7425,-5
7426,-7
7427,-1
7428,4
7429,-6
7430,8
7431,-9
7432,6
7433,8
7434,-6
7435,-2
7436,7
7437,-1
7438,2
7439,2
7440,7
7441,-3
7442,5
7443,-3
7444,5
7445,5
7446,-9
7447,9
7448,7
7449,3
7450,-5
7451,6
7452,9
7453,-5
7454,-4
7455,6
7456,-1
7457,-7
7458,6
7459,0
7460,-7
7461,4
7462,8
7463,-8
7464,-9
7465,1
7466,3
7467,4
7468,9
7469,-1
7470,-4
7471,2
7472,7
7473,3
7474,7
7475,2
7476,-10
7477,4
7478,9
7479,-1
7480,-7
7481,6
7482,9
7483,-9
7484,-8
7485,7
7486,-7
7487,2
7488,-1
7489,-2
7490,-2
7491,-5
7492,-1
7493,-7
7494,1
7495,-8
7496,8
7497,3
7498,10
7499,-8
7500,-3
7501,-2
7502,-3
7503,4
7504,8
7505,-9
7506,1
7507,-9
7508,-1
7509,-7
7510,-2
7511,3
7512,1
7513,9
7514,4
7515,3
7516,-8
7517,-2
7518,3
7519,-8
7520,4
7521,10
7522,6
7523,-1
7524,4
7525,-9
7526,-9
7527,9
7528,3
7529,-4
7530,4
7531,10
7532,2
7533,5
7534,2
7535,-4
7536,2
7537,4
7538,-7
7539,6
7540,1
7541,-6
7542,6
7543,-4
7544,-2
7545,6
7546,1
7547,-3
7548,-2
7549,-1
7550,7
7551,0
7552,10
7553,-9
7554,-9
7555,-4
7556,-6
7557,2
7558,10
7559,9
7560,-5
7561,-7
7562,3
7563,-10
7564,-2
7565,-8
7566,6
7567,3
7568,8
7569,5
7570,-6
7571,0
7572,-5
7573,-3
7574,10
7575,10
7576,6
7577,8
7578,-1
7579,-4
7580,6
7581,7
7582,10
7583,-1
7584,-5
7585,4
7586,-6
7587,-7
7588,9
7589,-4
7590,-7
7591,9
7592,-4
7593,-2
7594,8
7595,9
7596,10
7597,-1
7598,-3
7599,5
7600,-4
7601,7
7602,-2
7603,3
7604,6
7605,-7
7606,-5
7607,10
7608,0
7609,3
7610,-6
7611,-5
7612,-1
7613,-9
7614,5
7615,-10
7616,10
7617,-9
7618,-8
7619,1
7620,10
7621,5
7622,-9
7623,-4
7624,10
7625,0
7626,0
7627,1
7628,2
7629,-6
7630,-6
7631,5
7632,-8
7633,10
7634,0
7635,-4
7636,-9
7637,-2
7638,3
7639,8
7640,-8
7641,6
7642,9
7643,-1
7644,6
7645,2
7646,2
7647,-7
7648,2
7649,4
7650,6
7651,-7
7652,-6
7653,-3
7654,1
7655,2
7656,-3
7657,9
7658,-10
7659,8
7660,-4
7661,-6
7662,9
7663,0
7664,2
7665,5
7666,8
7667,-7
7668,-10
7669,-5
7670,1
7671,-1
7672,4
7673,3
7674,-6
7675,1
7676,-4
7677,-9
7678,10
7679,4
7680,9
7681,1
7682,-7
7683,1
7684,-1
7685,-1
7686,3
7687,-4
7688,1
7689,-6
7690,-10
7691,9
7692,-10
7693,-4
7694,7
7695,4
7696,0
7697,2
7698,-10
7699,2
7700,-8
7701,-7
7702,8
7703,-1
7704,1
7705,-8
7706,3
7707,-4
7708,5
7709,-9
7710,-5
7711,2
7712,4
7713,-6
7714,-5
7715,-7
7716,-1
7717,-1
7718,3
7719,-6
7720,7
7721,-10
7722,-1
7723,8
7724,-8
7725,-10
7726,-10
7727,-4
7728,-6
7729,-2
7730,3
7731,3
7732,-10
7733,-10
7734,-6
7735,5
7736,-9
7737,10
7738,7
7739,5
7740,-10
7741,6
7742,-3
7743,9
7744,8
7745,-2
7746,-3
7747,6
7748,0
7749,-3
7750,-2
7751,1
7752,-10
7753,4
7754,-1
7755,6
7756,4
7757,9
7758,2
7759,3
7760,9
7761,-6
7762,6
7763,7
7764,-6
7765,-2
7766,-2
7767,-8
7768,-10
7769,-10
7770,10
7771,0
7772,-8
7773,4
7774,-7
7775,-1
7776,6
7777,1
7778,-3
7779,9
7780,-1
7781,3
7782,-4
7783,0
7784,-5
7785,-1
7786,3
7787,7
7788,-4
7789,5
7790,9
7791,3
7792,-2
7793,8
7794,0
7795,3
7796,-1
7797,6
7798,-5
7799,8
7800,1
7801,-10
7802,-10
7803,8
7804,-5
7805,9
7806,-6
7807,-5
7808,-5
7809,3
7810,-10
7811,-8
7812,0
7813,9
7814,9
7815,7
7816,-5
7817,9
7818,-2
7819,-7
7820,2
7821,1
7822,-3
7823,-2
7824,-3
7825,7
7826,-4
7827,6
7828,-1
7829,2
7830,-10
7831,-4
7832,7
7833,10
7834,-4
7835,-10
7836,-6
7837,-8
7838,10
7839,9
7840,-8
7841,-10
7842,-7
7843,4
7844,4
7845,-8
7846,-6
7847,-10
7848,3
7849,2
7850,10
7851,-9
7852,0
7853,-1
7854,7
7855,-2
7856,-7
7857,9
7858,8
7859,0
7860,-4
7861,-1
7862,-6
7863,0
7864,1
7865,3
7866,-7
7867,-6
7868,10
7869,-7
7870,-2
7871,-6
7872,7
7873,-7
7874,-6
7875,-8
7876,-1
7877,4
7878,-1
7879,4
7880,-9
7881,8
7882,7
7883,5
7884,9
7885,8
7886,-5
7887,-2
7888,-6
7889,-10
7890,0
7891,-7
7892,9
7893,4
7894,10
7895,-3
7896,1
7897,3
7898,4
7899,1
7900,-5
7901,-1
7902,3
7903,10
7904,9
7905,-2
7906,0
7907,-9
7908,-3
7909,8
7910,-1
7911,7
7912,2
7913,-7
7914,10
7915,-10
7916,5
7917,6
7918,10
7919,-5
7920,-5
7921,10
7922,-7
7923,-2
7924,6
7925,10
7926,-10
7927,-7
7928,-1
7929,-10
7930,-8
7931,1
7932,-9
7933,-7
7934,0
7935,1
7936,-2
7937,-1
7938,0
7939,0
7940,8
7941,-8
7942,-7
7943,-5
7944,-4
7945,7
7946,1
7947,-8
7948,5
7949,-1
7950,8
7951,6
7952,9
7953,1
7954,-7
7955,-10
7956,-1
7957,-1
7958,-1
7959,2
7960,-9
7961,10
7962,2
7963,-4
7964,7
7965,8
7966,-10
7967,6
7968,-3
7969,7
7970,5
7971,-8
7972,-4
7973,-1
7974,-4
7975,8
7976,1
7977,4
7978,0
7979,-2
7980,6
7981,-5
7982,-5
7983,4
7984,5
7985,0
7986,1
